Year,Sector_1,Sector_2,Sector_3,Sector_4,Element,Category,Unit,Value
1873,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,3505457352.96242
1873,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,2275365292.80028
1874,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,4589192.1800473
1874,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,9932320.63568541
1874,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,28072692.359183
1874,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,31086001.3032887
1874,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,1256094.568661
1874,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,1252103.62444402
1874,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1874,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1874,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1874,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1874,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,3061607188.32735
1874,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,1971782916.92004
1875,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,4374434.95959835
1875,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,9462176.21551864
1875,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,28650537.6441604
1875,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,31739566.6999661
1875,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,1230026.64323577
1875,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,1225814.93287231
1875,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1875,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1875,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1875,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1875,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,3125892154.93997
1875,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,1997621357.35754
1876,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,4115410.39130968
1876,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,8902157.4644249
1876,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,28958818.9122149
1876,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,32086713.9865816
1876,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,1191863.61793673
1876,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,1187806.34047873
1876,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
